year,kind,rating,vote,runtime,genre1,genre2,country1,country2,language1,language2,cast1,cast2,director1,director2,composer1,composer2,writer1,writer2
1993,7,8.5,191.0,23.0,6,14,61,71,16,110,4632,4374,1635,611,2512,762,4765,3786
1979,4,7.4,58.0,31.0,16,27,61,71,16,110,3267,3906,3923,611,2512,762,4589,3434
2004,7,4.6,75.0,65.0,6,25,62,71,16,110,3009,5274,895,611,2512,762,3929,3786
1984,1,7.5,1532.0,25.0,7,14,23,29,20,110,2422,4406,1158,611,2512,762,1715,2207
2002,1,5.5,5850.0,51.0,0,5,23,66,16,110,4335,4049,1394,611,145,762,3039,2288
1993,3,5.7,370.0,30.0,4,7,62,71,16,110,2318,4409,2661,611,575,762,899,1535
1976,1,6.6,19667.0,134.0,7,19,37,18,33,110,4478,1491,2770,611,1768,762,2726,2529
1999,1,6.0,3284.0,169.0,7,12,47,18,45,110,531,1133,176,611,2592,762,24,1530
2001,7,4.6,1144.0,97.12636815920398,0,5,62,71,16,110,4665,255,3314,611,2317,762,4118,629
1987,1,8.0,67916.0,60.0,7,9,66,18,22,29,624,5079,4037,611,1364,762,4929,2737
1966,1,5.5,5148.0,61.0,0,1,37,71,33,110,71,3124,2051,611,1640,762,4309,3786
1998,1,7.8,809.0,58.0,6,3,62,71,16,110,1307,4380,2129,373,2512,762,1509,3786
2002,7,2.4,417.0,241.0,0,13,4,71,16,110,2570,1261,893,325,2512,762,1016,1979
2004,1,6.8,56.0,106.0,6,4,63,71,16,110,1603,5771,2946,611,2512,762,1532,3786
1998,1,7.3,973.0,104.0,4,27,62,71,16,110,988,1257,3923,611,2512,762,876,2477
1999,1,5.1,13301.0,154.0,4,8,62,71,16,110,844,2418,984,611,1232,762,2302,3210
2000,2,8.3,18147.0,155.0,1,4,61,19,16,110,1178,1130,3923,611,2512,762,4354,3786
2004,7,7.7,31.0,110.0,8,27,62,66,54,29,1121,4245,3650,272,2512,762,4432,3259
2002,4,7.3,4265.0,103.0160642570281,2,4,37,71,33,29,3874,1057,3923,611,2512,762,763,547
2001,1,7.9,25554.0,51.0,2,7,37,71,33,29,3318,3460,3469,611,2371,762,4222,3103
1995,0,9.1,2399.0,90.0,7,27,61,18,16,110,904,4386,2937,193,2512,762,60,554
2003,0,7.7,22.0,88.0,6,27,63,71,62,110,2298,5771,3923,611,434,762,1189,56
1996,1,6.5,1656.0,88.0,4,19,55,18,54,110,179,2782,2411,611,231,762,4971,2247
2002,1,5.6,385.0,83.0,2,0,37,71,33,110,3344,2123,3895,235,2512,762,4551,3738
1997,1,6.5,101046.0,116.0,1,4,61,67,16,110,4019,4358,2583,611,993,762,4113,2884
2003,1,3.1,1357.0,84.0,1,4,62,71,16,110,892,1441,3718,611,2580,762,4534,2182
2002,1,7.4,28156.0,8.0,3,7,4,71,16,0,1426,5337,3079,611,1950,762,1132,523
2001,1,7.6,120.0,101.0,6,12,34,45,25,8,4703,5771,3108,611,1787,166,4765,3786
1984,1,7.6,906.0,91.0,6,27,56,71,55,110,994,2175,1527,611,2512,762,1831,3786
2000,0,7.2,67.0,96.08333333333333,6,3,63,71,62,110,4126,2528,2087,611,2162,762,2535,1937
1992,4,9.0,93363.0,103.0160642570281,2,0,62,71,16,110,2609,1487,3923,611,2512,762,459,979
2005,7,8.1,121.0,126.0,6,21,62,43,16,110,888,1584,3923,611,2512,762,4765,3786
1971,1,6.7,1364.0,142.0,7,9,62,71,41,110,1215,577,1605,611,2512,762,1937,3786
1998,4,7.1,186.0,76.0,2,0,37,71,33,110,4457,3407,3923,611,2512,762,329,3506
1959,4,9.0,75773.0,97.0,7,9,62,71,62,110,3969,4663,3923,611,2512,762,4046,3015
1985,1,7.6,23.0,143.0,6,14,61,71,16,110,4027,4964,3309,611,2512,762,4001,3786
1989,4,6.5,8365.0,103.0160642570281,4,7,62,71,16,110,3389,3720,3923,611,2512,762,4463,3346
2003,1,6.8,466400.0,180.0,0,20,62,71,16,34,3038,5252,2240,363,630,762,2852,2070
1997,1,8.4,364432.0,108.0,2,0,37,71,33,110,481,525,1430,611,1199,762,1697,2565
