year,kind,rating,vote,runtime,genre1,genre2,country1,country2,language1,language2,cast1,cast2,director1,director2,composer1,composer2,writer1,writer2
2005,movie,6.7,166.0,83.0,Comedy,None,United States,None,English,None,Jon Lovitz, Rosanna Arquette,Beth McCarthy-Miller, Paul Miller,Unknown,None,John Bowman, A. Whitney Brown
1997,tv movie,7.0,594.0,100.0,Drama,None,United States,None,English, Afrikaans,Sidney Poitier, Michael Caine,Joseph Sargent,None,Cédric Gradus Samson,None,Richard Wesley,None
1984,movie,5.7,2175.0,147.0,Adventure, Horror,Italy,None,Italian,None,Lisa Blount, Leonard Mann,Ruggero Deodato,None,Claudio Simonetti,None,Cesare Frugoni, Dardano Sacchetti
2004,movie,5.1,470.0,91.0,Horror,None,Japan,None,Japanese,None,Chinatsu Wakatsuki, Miku Ueno,Kôji Shiraishi,None,Unknown,None,Naoyuki Yokota,None
1998,tv movie,4.5,1975.0,128.0,Comedy, Horror,United States,None,English,None,Casper Van Dien, Natasha Gregson Wagner,Richard Elfman,None,Michael Wandmacher,None,Matthew Bright,None
2004,episode,8.7,219.0,87.0,Documentary, News,Unknown,None,Unknown,None,Madeleine Albright, Gromo Alex,Greg Barker,None,Dan Jones,None,Greg Barker,None
1998,movie,6.6,305.0,146.0,Documentary, Music,United States,None,English,None,Robyn Hitchcock, Deni Bonet,Jonathan Demme,None,Unknown,None,Unknown,None
2001,episode,7.9,16.0,90.0,Documentary, Music,Unknown,None,Unknown,None,Stephen Carpenter, Chi Cheng,Unknown,None,Stephen Carpenter, Chi Cheng,Lewis Friedman, Spencer Thornton
1996,movie,7.7,1960.0,89.0,Documentary, Music,United Kingdom,None,English,None,Ian Anderson, Glenn Cornick,Michael Lindsay-Hogg,None,Unknown,None,Unknown,None
2004,video movie,5.3,12532.0,94.0,Action, Adventure,United States,None,English,None,Michael Gross, Sara Botsford,S.S. Wilson,None,Jay Ferguson,None,S.S. Wilson, Brent Maddock
1987,tv series,7.6,3221.0,417.0,Comedy,None,United Kingdom,None,English,None,Dawn French, Jennifer Saunders,Unknown,None,Unknown,None,Richard Curtis, Dawn French
2004,movie,6.9,1916.0,96.82821118991332,Comedy, Drama,Czechia,None,Czech, English,Petr Forman, Emília Vásáryová,Jan Hrebejk,None,Ales Brezina,None,Jan Hrebejk, Petr Jarchovský
1990,movie,6.7,18.0,87.0,Adventure, Fantasy,Taiwan,None,Mandarin,None,Howie Huang, Pei-Chun Kao,Hsiao-min Wang,None,Unknown,None,Hsiao-min Wang,None
1993,tv series,6.8,10920.0,160.0,Drama, Family,United States,None,English,None,Jane Seymour, Joe Lando,Unknown,None,Unknown,None,Beth Sullivan, Beth Sullivan
1997,movie,6.7,194.0,43.0,Comedy, Drama,Israel,None,Hebrew, English,Zvika Hadar, Esti Zakheim,Julie Shles,None,Yuval Shafrir,None,Amit Lior, Amit Lior
1981,movie,4.8,1038.0,117.0,Action, Crime,Spain, West Germany,German, Spanish,Ajita Wilson, Andrea Guzon,Jesús Franco,None,Jesús Franco,None,Jesús Franco, Günter Ebert
1974,movie,4.7,641.0,74.0,Drama, Horror,Italy,None,Italian,None,Françoise Prévost, Jenny Tamburi,Sergio Grieco,None,Coriolano Gori,None,Sergio Grieco, Sergio Grieco
1990,video movie,8.2,180.0,92.0,Documentary, Music,United States,None,English,None,Bill Berry, Peter Buck,Jim McKay, Michael Stipe,Unknown,None,Unknown,None
1987,movie,4.5,27.0,94.0,Short,None,Norway,None,Unknown,None,Tobias Asphaug, Kenneth Colban,Martin Asphaug,None,Unknown,None,Jan Knutzen,None
1998,movie,6.5,3424.0,97.0,Comedy, Drama,India,None,Tamil,None,Prashanth, Aishwarya Rai Bachchan,S. Shankar,None,A.R. Rahman,None,S. Shankar,None
1999,movie,6.3,434.0,110.0,Action, Drama,Jamaica,None,English,None,Paul Campbell, Mark Danvers,Chris Browne,None,Wally Badarou, Lowell Sly Dunbar,Suzanne Fenn, Chris Browne
1976,movie,7.0,14259.0,28.0,Drama, Horror,Canada, France,English, Hebrew,Jodie Foster, Martin Sheen,Nicolas Gessner,None,Christian Gaubert,None,Laird Koenig, Laird Koenig
